Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System,Polycrystalline Dielectric Constant
mp-1189341,HfTl2PbSe4,C2/c,-0.817,0,0.964,TRUE,466.232,16,FALSE,,7.909,monoclinic," 11.119707999999989,"
mp-3332,NaCrSe2,R3m,-0.81,0,0.868,TRUE,84.673,4,FALSE,,4.568,trigonal," 10.539034666666668,"
mp-3432,ScNiSb,F43m,-0.9,0,0.316,TRUE,57.046,3,FALSE,,6.561,cubic," 18.301273000000023,"
mp-3785,TlGaTe2,I4/mcm,-0.369,0,0.581,TRUE,260.13,8,FALSE,,6.758,tetragonal," 13.320920666666659,"
mp-17524,GeAs2,Pbam,-0.043,0,0.721,TRUE,624.727,24,FALSE,,4.731,orthorhombic," 13.120666666666665,"
mp-31002,Rb2Te5,C2/m,-0.54,0,0.396,TRUE,287.205,7,FALSE,,4.677,monoclinic," 16.72133333333374,"
mp-7770,Sr(ZnAs)2,P3m1,-0.669,0,0.256,TRUE,115.352,5,FALSE,,5.302,trigonal," 15.046333333333399,"
mp-971673,BiS2,C2/m,-0.7,0,1.189,TRUE,301.232,12,FALSE,,6.022,monoclinic," 12.299302333333339,"
mp-28413,Na2(GaSb)3,Pnma,-0.269,0,0.325,TRUE,873.466,32,FALSE,,4.718,orthorhombic," 18.796666666666667,"
mp-1106051,Y3Cu3Sb4,I43d,-0.725,0,0.457,TRUE,435.878,20,FALSE,,7.196,cubic," 26.530203000000014,"
mp-20027,FeP2,Pnnm,-0.537,0,0.471,TRUE,76.291,6,FALSE,,5.128,orthorhombic," 23.048333333333332,"
mp-561786,Cs(TeO3)2,R3m,-1.657,0,0.514,TRUE,294.133,18,FALSE,,5.466,trigonal," 10.557528333333332,"
mp-5967,TiCoSb,F43m,-0.661,0,1.067,TRUE,51.177,3,FALSE,,7.416,cubic," 20.46137399999998,"
mp-865101,NaLi2Bi,Fm3m,-0.487,0,0.352,TRUE,86.168,4,TRUE,,4.738,cubic," 16.512548000000006,"
mp-865799,Yb2AsAu,Fm3m,-1.084,0,0.162,TRUE,92.124,4,TRUE,,11.139,cubic," 43.63964800000013,"
mp-1009087,BeSiAs2,I42d,-0.212,0,1.023,TRUE,155.051,8,TRUE,,4.004,tetragonal," 10.901283333333332,"
mp-13654,Y3Sb4Au3,I43d,-0.82,0,0.581,TRUE,494.584,20,FALSE,,9.029,cubic," 27.056649333333315,"
mp-2008,FeAs2,Pnnm,-0.265,0,0.286,TRUE,92.012,6,FALSE,,7.424,orthorhombic," 30.61366666666667,"
mp-27736,Re2P5,P1,-0.367,0,0.485,TRUE,444.606,28,FALSE,,7.877,triclinic," 18.955333333333332,"
mp-34126,Cu4SnP10,R3m,-0.124,0,0.367,TRUE,274.444,15,FALSE,,4.13,trigonal," 16.986648000000006,"
mp-17568,Ag3Sn2(GeP2)3,I43m,-0.045,0,0.341,TRUE,599.975,28,FALSE,,5.34,cubic," 23.716828999999887,"
mp-35907,La5TlTe8,I4,-1.478,0,1.081,TRUE,464.682,14,TRUE,,6.86,tetragonal," 12.47859299999999,"
mp-7936,LiNbS2,P63/mmc,-1.635,0,0.806,TRUE,128.365,8,FALSE,,4.242,hexagonal," 12.006016333333315,"
